pagina,titulo,url
10,Vivamos el patrimonio junto con la Municipalidad de Arica,https://www.diadelospatrimonios.cl/actividad/vivamos-el-patrimonio-junto-con-la-municipalidad-de-arica
10,Muestra del estado de conservación de los diarios La voz de Aconcagua,https://www.diadelospatrimonios.cl/actividad/muestra-del-estado-de-conservacion-de-los-diarios-la-voz-de-aconcagua
10,Concierto acústico de guitarra clásica por el dúo Dharma,https://www.diadelospatrimonios.cl/actividad/concierto-acustico-de-guitarra-clasica-por-el-duo-dharma
10,Teletón Valparaíso casa abierta,https://www.diadelospatrimonios.cl/actividad/teleton-valparaiso-casa-abierta
10,Travesía por los libros,https://www.diadelospatrimonios.cl/actividad/travesia-por-los-libros
11,Modelismo Ferroviario a escala 1:87,https://www.diadelospatrimonios.cl/actividad/modelismo-ferroviario-escala-187
11,Tejiendo con hilos de esperanza,https://www.diadelospatrimonios.cl/actividad/tejiendo-con-hilos-de-esperanza
11,"Caracterización de personas en la figura del comandante Arturo Prat Chacón, la Sra. Carmela Carvajal, el capitán Carlos Condell, el Sargento Juan de Dios Aldea y del grumete José Concha.",https://www.diadelospatrimonios.cl/actividad/caracterizacion-de-personas-en-la-figura-del-comandante-arturo-prat-chacon-la-sra-carmela
11,Día del patrimonio en el Museo del Agua,https://www.diadelospatrimonios.cl/actividad/dia-del-patrimonio-en-el-museo-del-agua
11,Pinceladas en viaje a la nostalgia; casas y ventanas de Purranque.,https://www.diadelospatrimonios.cl/actividad/pinceladas-en-viaje-la-nostalgia-casas-y-ventanas-de-purranque
11,Temuko: De fuerte a capital regional,https://www.diadelospatrimonios.cl/actividad/temuko-de-fuerte-capital-regional
11,Acuario y museo FCM-UCN,https://www.diadelospatrimonios.cl/actividad/acuario-y-museo-fcm-ucn
11,Apertura del Monumento y Museo de Sitio Castillo de Niebla,https://www.diadelospatrimonios.cl/actividad/apertura-del-monumento-y-museo-de-sitio-castillo-de-niebla
12,"Mate, bosque y cultura",https://www.diadelospatrimonios.cl/actividad/mate-bosque-y-cultura
12,Memoria fotográfica de Niebla: fotorelato y postales,https://www.diadelospatrimonios.cl/actividad/memoria-fotografica-de-niebla-fotorelato-y-postales
12,"Celebrando el Día de los Patrimonios con visitas, cine documental y mateada",https://www.diadelospatrimonios.cl/actividad/celebrando-el-dia-de-los-patrimonios-con-visitas-cine-documental-y-mateada
12,Inauguración y Ch'alla de oficinas y Sala de Exposiciones Dirección Regional Servicio Nacional del Patrimonio Cultural,https://www.diadelospatrimonios.cl/actividad/inauguracion-y-challa-de-oficinas-y-sala-de-exposiciones-direccion-regional-servicio
12,Feria cultural Taiñ Tuwun,https://www.diadelospatrimonios.cl/actividad/feria-cultural-tain-tuwun
12,Visita al Palacio Valle,https://www.diadelospatrimonios.cl/actividad/visita-al-palacio-valle
12,Memorias Reveladas,https://www.diadelospatrimonios.cl/actividad/memorias-reveladas
12,"Exposición ""El ojo silvestre"" de María José Rojas",https://www.diadelospatrimonios.cl/actividad/exposicion-el-ojo-silvestre-de-maria-jose-rojas
13,Gran Logia Mixta De Chile- Valparaíso,https://www.diadelospatrimonios.cl/actividad/gran-logia-mixta-de-chile-valparaiso
13,"Encuentro con el artista . Exposición individual externa a la Colección Ralli ""Del autorretrato a la selfie""",https://www.diadelospatrimonios.cl/actividad/encuentro-con-el-artista-exposicion-individual-externa-la-coleccion-ralli-del
13,"CEINA, un recorrido musical por las catacumbas",https://www.diadelospatrimonios.cl/actividad/ceina-un-recorrido-musical-por-las-catacumbas
13,Huellas de El Quisco: Entre agujas y versos,https://www.diadelospatrimonios.cl/actividad/huellas-de-el-quisco-entre-agujas-y-versos
13,Recorrido Por Un Siglo Del Tribunal Calificador De Elecciones,https://www.diadelospatrimonios.cl/actividad/recorrido-por-un-siglo-del-tribunal-calificador-de-elecciones
13,Muestra de artesanía chilota y patrimonio agroalimentario,https://www.diadelospatrimonios.cl/actividad/muestra-de-artesania-chilota-y-patrimonio-agroalimentario
13,Visitas guiadas en la Iglesia de los sacramentinos,https://www.diadelospatrimonios.cl/actividad/visitas-guiadas-en-la-iglesia-de-los-sacramentinos
13,Aduana De Valparaíso Abre Sus Puertas A La Ciudadanía,https://www.diadelospatrimonios.cl/actividad/aduana-de-valparaiso-abre-sus-puertas-la-ciudadania
14,Vexilología y Heráldica Regional. Conociendo nuestros emblemas.,https://www.diadelospatrimonios.cl/actividad/vexilologia-y-heraldica-regional-conociendo-nuestros-emblemas
14,"""Antes esto era puro campo"" Recorriendo la historia del Cerro Negro",https://www.diadelospatrimonios.cl/actividad/antes-esto-era-puro-campo-recorriendo-la-historia-del-cerro-negro
14,Muestra fotográfica Autoconstrucción de Villa La Reina,https://www.diadelospatrimonios.cl/actividad/muestra-fotografica-autoconstruccion-de-villa-la-reina
14,Muestra Historia del Deporte Chileno,https://www.diadelospatrimonios.cl/actividad/muestra-historia-del-deporte-chileno
14,"Pasacalle banda de exalumnos ""Alfredo Taverna"" colegio Don Bosco Iquique",https://www.diadelospatrimonios.cl/actividad/pasacalle-banda-de-exalumnos-alfredo-taverna-colegio-don-bosco-iquique
14,"Exhibición de debate formato parlamento británico: ""Debatiendo Nuestro Patrimonio: Ideas que Construyen Identidad""",https://www.diadelospatrimonios.cl/actividad/exhibicion-de-debate-formato-parlamento-britanico-debatiendo-nuestro-patrimonio-ideas-que
14,Confitería Torres,https://www.diadelospatrimonios.cl/actividad/confiteria-torres
14,Ruta Patrimonial de Peñalolén,https://www.diadelospatrimonios.cl/actividad/ruta-patrimonial-de-penalolen
15,Visitas guiadas al Sitio de Memoria Egaña 60,https://www.diadelospatrimonios.cl/actividad/visitas-guiadas-al-sitio-de-memoria-egana-60
15,Opera en el Rioja,https://www.diadelospatrimonios.cl/actividad/opera-en-el-rioja
15,Exposición coleccionistas patrimoniales de Concón,https://www.diadelospatrimonios.cl/actividad/exposicion-coleccionistas-patrimoniales-de-concon
15,Talleres interculturales para niños y niñas.,https://www.diadelospatrimonios.cl/actividad/talleres-interculturales-para-ninos-y-ninas
15,"""Viviendo el Patrimonio en el Bicentenario Elvira Hurtado de Matte SIP""",https://www.diadelospatrimonios.cl/actividad/viviendo-el-patrimonio-en-el-bicentenario-elvira-hurtado-de-matte-sip
15,Estancilla 1984; reconstruyendo la historia del memorial,https://www.diadelospatrimonios.cl/actividad/estancilla-1984-reconstruyendo-la-historia-del-memorial
15,"Pülalkantun, juego de lanas",https://www.diadelospatrimonios.cl/actividad/pulalkantun-juego-de-lanas
15,Museo Virtual de Yumbel,https://www.diadelospatrimonios.cl/actividad/museo-virtual-de-yumbel
16,Radio Teatro con Identidad Cultural,https://www.diadelospatrimonios.cl/actividad/radio-teatro-con-identidad-cultural
16,Visitas Guiadas casa del arte Julio Dumont Barra,https://www.diadelospatrimonios.cl/actividad/visitas-guiadas-casa-del-arte-julio-dumont-barra
16,Exposición al aire libre de pinturas de la historia de Viña del Mar,https://www.diadelospatrimonios.cl/actividad/exposicion-al-aire-libre-de-pinturas-de-la-historia-de-vina-del-mar
16,"Senderos De La Memoria Ancestral, Esta Vez Presentamos: Trekking Al Complejo Arqueológico Chono Williche En Isla Tenglo",https://www.diadelospatrimonios.cl/actividad/senderos-de-la-memoria-ancestral-esta-vez-presentamos-trekking-al-complejo-arqueologico
16,"""Descubre Nuestro Tesoro Colonial""",https://www.diadelospatrimonios.cl/actividad/descubre-nuestro-tesoro-colonial
16,Lanzamiento Boletín Patrimonial - Arquitectura del Norte,https://www.diadelospatrimonios.cl/actividad/lanzamiento-boletin-patrimonial-arquitectura-del-norte
16,Día de los Patrimonios Palacio de La Alhambra,https://www.diadelospatrimonios.cl/actividad/dia-de-los-patrimonios-palacio-de-la-alhambra
16,Ruta patrimonial del Colegio Sagrados Corazones de La Serena,https://www.diadelospatrimonios.cl/actividad/ruta-patrimonial-del-colegio-sagrados-corazones-de-la-serena
17,Plaza Pública | Espacio Creativo VETA,https://www.diadelospatrimonios.cl/actividad/plaza-publica-espacio-creativo-veta
17,Una noche en el Cementerio,https://www.diadelospatrimonios.cl/actividad/una-noche-en-el-cementerio
17,Visita el MHN cuartel Bomba Española de Iquique,https://www.diadelospatrimonios.cl/actividad/visita-el-mhn-cuartel-bomba-espanola-de-iquique
17,Dia de los Patrimonios en La Candelaria,https://www.diadelospatrimonios.cl/actividad/dia-de-los-patrimonios-en-la-candelaria
17,Dia del Patrimonio,https://www.diadelospatrimonios.cl/actividad/dia-del-patrimonio
17,City tour lugares centricos de la ciudad de Valdivia,https://www.diadelospatrimonios.cl/actividad/city-tour-lugares-centricos-de-la-ciudad-de-valdivia
17,Presentación Camerata Aconcagua,https://www.diadelospatrimonios.cl/actividad/presentacion-camerata-aconcagua
17,La Fiesta de los Patrimonios de Carahue 2025,https://www.diadelospatrimonios.cl/actividad/la-fiesta-de-los-patrimonios-de-carahue-2025
18,Palacio de Tribunales de Concepción abre sus puertas a la comunidad,https://www.diadelospatrimonios.cl/actividad/palacio-de-tribunales-de-concepcion-abre-sus-puertas-la-comunidad
18,Celebramos el Día del Patrimonio con una travesía por los libros en la BILIJ,https://www.diadelospatrimonios.cl/actividad/celebramos-el-dia-del-patrimonio-con-una-travesia-por-los-libros-en-la-bilij
18,Feria cultural Folilche,https://www.diadelospatrimonios.cl/actividad/feria-cultural-folilche
18,Taller y cuentacuentos en la BILIJ: Tejiendo con hilos de esperanza,https://www.diadelospatrimonios.cl/actividad/taller-y-cuentacuentos-en-la-bilij-tejiendo-con-hilos-de-esperanza
18,Recorrido patrimonial y artístico por CEINA,https://www.diadelospatrimonios.cl/actividad/recorrido-patrimonial-y-artistico-por-ceina
18,Muestra de objetos y documentos patrimoniales,https://www.diadelospatrimonios.cl/actividad/muestra-de-objetos-y-documentos-patrimoniales
18,Taller de esculturas de pan para conocer el Patrimonio Ornitológico de la Provincia de Maipo,https://www.diadelospatrimonios.cl/actividad/taller-de-esculturas-de-pan-para-conocer-el-patrimonio-ornitologico-de-la-provincia-de
18,"Puesta en valor de Collico, donde jugó Colo-Colo por primera vez en Valdivia en 1926",https://www.diadelospatrimonios.cl/actividad/puesta-en-valor-de-collico-donde-jugo-colo-colo-por-primera-vez-en-valdivia-en-1926
19,La Bomba Bar: Un patrimonio invaluable de Valdivia,https://www.diadelospatrimonios.cl/actividad/la-bomba-bar-un-patrimonio-invaluable-de-valdivia
19,Recorrido guiado Sitios de Memoria del Estadio Nacional,https://www.diadelospatrimonios.cl/actividad/recorrido-guiado-sitios-de-memoria-del-estadio-nacional
19,Testigos del tiempo: la historia fósil de Atacama,https://www.diadelospatrimonios.cl/actividad/testigos-del-tiempo-la-historia-fosil-de-atacama
19,Cuartel Centenario Sextino Abierto,https://www.diadelospatrimonios.cl/actividad/cuartel-centenario-sextino-abierto
19,"Inauguración Exposición de fotobordado ""Hilando las memorias de Chiloé""",https://www.diadelospatrimonios.cl/actividad/inauguracion-exposicion-de-fotobordado-hilando-las-memorias-de-chiloe
19,"Patrimonio vivo, Parroquia Santa Ana",https://www.diadelospatrimonios.cl/actividad/patrimonio-vivo-parroquia-santa-ana
19,Ruta Cultural del Sonido Inacap Ñuñoa,https://www.diadelospatrimonios.cl/actividad/ruta-cultural-del-sonido-inacap-nunoa
19,Ruta del Vino del Desierto,https://www.diadelospatrimonios.cl/actividad/ruta-del-vino-del-desierto
20,Catedral de Chillán: Cien Años de la Diócesis San Bartolomé,https://www.diadelospatrimonios.cl/actividad/catedral-de-chillan-cien-anos-de-la-diocesis-san-bartolome
20,Exhibición “Restauración en acción”,https://www.diadelospatrimonios.cl/actividad/exhibicion-restauracion-en-accion
20,Apertura gratuita Museo Iglesias de Chiloé,https://www.diadelospatrimonios.cl/actividad/apertura-gratuita-museo-iglesias-de-chiloe
20,Patrimonio de bomberos en tu comunidad,https://www.diadelospatrimonios.cl/actividad/patrimonio-de-bomberos-en-tu-comunidad
